Date,Open,Log Open,Change %
01/07/14,"7,629.00",8.939712054,1.44%
01/06/14,"7,264.05",8.890692804,5.28%
01/05/14,"6,709.95",8.811346778,7.97%
01/04/14,"6,729.50",8.814256126,-0.12%
01/03/14,"6,264.35",8.742630111,6.81%
01/02/14,"6,058.80",8.70926704,3.08%
01/01/14,"6,323.80",8.752075572,-3.40%
01/12/13,"6,171.15",8.727640485,2.07%
01/11/13,"6,289.75",8.746676603,-1.95%
01/10/13,"5,756.10",8.658015441,9.83%
01/09/13,"5,480.25",8.608905999,4.82%
01/08/13,"5,776.90",8.661622486,-4.71%
01/07/13,"5,834.10",8.671475291,-1.72%
01/06/13,"5,997.35",8.699072984,-2.40%
01/05/13,"5,911.40",8.684637969,0.94%
01/04/13,"5,697.35",8.647756433,4.36%
01/03/13,"5,702.45",8.648651186,-0.18%
01/02/13,"6,040.95",8.706316563,-5.66%
01/01/13,"5,937.65",8.689068711,2.20%
01/12/12,"5,878.25",8.679014378,0.43%
01/11/12,"5,609.85",8.63227926,4.63%
01/10/12,"5,704.75",8.64905444,-1.47%
01/09/12,"5,276.50",8.571018278,8.46%
01/08/12,"5,220.70",8.560386772,0.56%
01/07/12,"5,283.85",8.572410278,-0.95%
01/06/12,"4,910.85",8.499202322,7.20%
01/05/12,"5,254.30",8.566802068,-6.17%
01/04/12,"5,296.35",8.574773183,-0.90%
