Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,Components of Gross Domestic Product,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Base Year:2011-12,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Year,Private Final Consumption Expenditure,,Government Final Consumption Expenditure,,Gross Fixed Capital Formation,,Changes in Stocks,,Valuables,,Exports of Goods and Services,,Import of Goods and Services,,Discrepancies,,Gross Domestic Product,,
,,Constant Prices,Current Prices,Constant Prices,Current Prices,Constant Prices,Current Prices,Constant Prices,Current Prices,Constant Prices,Current Prices,Constant Prices,Current Prices,Constant Prices,Current Prices,Constant Prices,Current Prices,Constant Prices,Log Constant Prices,Current Prices
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,2.833213344,18
,1980-81   ,9.000886442,22.23725604,4.639952034,16.09817082,2.382418078,15.05436967,-93.5373693,-104.4520926,-,-,5.23732969,8.261390887,14.35419805,34.69387755,-,-,6.735821528,1.907439781,19.01932229
,1979-80   ,-2.242982485,8.588795794,6.257460895,14.9534578,-0.064972686,15.10490999,-28.62081151,9.089700756,-,-,11.154191,17.21714687,19.32083754,35.9827563,-,-,-5.238182703,,9.665996867
,1978-79   ,6.111794479,8.75728086,7.398901826,11.01639892,5.172030339,11.78548175,93.21168412,53.07619528,-,-,7.803030303,7.153614458,0.049143819,13.90210219,-,-,5.712532089,1.742662374,8.313358823
,1977-78   ,8.154261201,15.15396749,3.419491082,6.697580585,13.52452714,15.14700101,48.01836643,180.7691279,-,-,-3.567356247,8.160938264,27.39561353,16.08478803,-,-,7.254764586,1.981658437,13.30096164
,1976-77   ,1.993962946,3.967314576,7.486613069,11.06158293,10.93191354,12.4535132,250.6096604,-45.23737467,-,-,19.81883692,27.57689111,1.896219441,-0.882768362,-,-,1.663103637,0.508685517,7.7444475
,1975-76   ,5.678903806,2.267821725,9.658790627,17.87360342,-1.794300237,14.5285401,-85.40227079,-66.7359641,-,-,16.44883832,25.47588005,1.27946128,18.51851852,-,-,9.149912015,2.213744263,7.350377553
,1974-75   ,-0.075401672,21.15557912,-3.735969351,21.32596713,3.846591127,23.22402278,26.01137134,149.6298582,-,-,8.199797299,35.51236749,-12.75808591,50.47229219,-,-,1.18533626,0.170026498,18.0504181
,1973-74   ,2.454015782,20.55083392,-0.140397641,9.627180821,-2.636837122,13.53925247,263.7580933,36.21863059,-,-,4.963455874,27.19101124,8.07509593,55.00244021,-,-,3.295521135,1.192564315,21.71281883
,1972-73   ,0.669884048,10.21716164,0.958468015,6.357062124,4.297837464,13.32816831,-71.69442254,5.093077201,-,-,8.237854447,21.0554951,-1.888413706,2.143569292,-,-,-0.553301312,,10.22632572
,1971-72   ,1.945761707,7.854556504,9.801784579,15.74853386,10.3970657,14.28734755,32.72689751,4.759727561,-,-,1.052037206,3.783173348,18.02848349,10.46255507,-,-,1.642930384,0.496481467,7.055254866
