"Date","Price","Open","High","Low","Vol.","Change %"
"30-09-2025","24,611.10","24,691.95","24,731.80","24,587.70","303.04M","-0.10%"
"29-09-2025","24,634.90","24,728.55","24,791.30","24,606.20","394.39M","-0.08%"
"26-09-2025","24,654.70","24,818.55","24,868.60","24,629.45","291.54M","-0.95%"
"25-09-2025","24,890.85","25,034.50","25,092.70","24,878.30","342.53M","-0.66%"
"24-09-2025","25,056.90","25,108.75","25,149.85","25,027.45","244.38M","-0.45%"
"23-09-2025","25,169.50","25,209.00","25,261.90","25,084.65","299.20M","-0.13%"
"22-09-2025","25,202.35","25,238.10","25,331.70","25,151.05","254.51M","-0.49%"
"19-09-2025","25,327.05","25,410.20","25,428.75","25,286.30","380.36M","-0.38%"
"18-09-2025","25,423.60","25,441.05","25,448.95","25,329.75","272.19M","0.37%"
"17-09-2025","25,330.25","25,276.60","25,346.50","25,275.35","268.94M","0.36%"
"16-09-2025","25,239.10","25,073.60","25,261.40","25,070.45","240.12M","0.68%"
"15-09-2025","25,069.20","25,118.90","25,138.45","25,048.75","185.38M","-0.18%"
"12-09-2025","25,114.00","25,074.45","25,139.45","25,038.05","225.74M","0.43%"
"11-09-2025","25,005.50","24,945.50","25,037.30","24,940.15","224.57M","0.13%"
"10-09-2025","24,973.10","24,991.00","25,035.70","24,915.05","244.15M","0.42%"
"09-09-2025","24,868.60","24,864.10","24,891.80","24,814.00","226.92M","0.39%"
"08-09-2025","24,773.15","24,802.60","24,885.50","24,751.55","213.23M","0.13%"
"05-09-2025","24,741.00","24,818.85","24,832.35","24,621.60","210.07M","0.03%"
"04-09-2025","24,734.30","24,980.75","24,980.75","24,708.20","314.09M","0.08%"
"03-09-2025","24,715.05","24,616.50","24,737.05","24,533.20","340.28M","0.55%"
"02-09-2025","24,579.60","24,653.00","24,756.10","24,522.35","271.56M","-0.18%"
"01-09-2025","24,625.05","24,432.70","24,635.60","24,432.70","229.33M","0.81%"
"29-08-2025","24,426.85","24,466.70","24,572.45","24,404.70","325.52M","-0.30%"
"28-08-2025","24,500.90","24,695.80","24,702.65","24,481.60","326.60M","-0.85%"
"26-08-2025","24,712.05","24,899.50","24,919.65","24,689.60","750.47M","-1.02%"
"25-08-2025","24,967.75","24,949.15","25,021.55","24,894.35","213.03M","0.39%"
"22-08-2025","24,870.10","25,064.15","25,084.85","24,859.15","210.17M","-0.85%"
"21-08-2025","25,083.75","25,142.00","25,153.65","25,054.90","226.54M","0.13%"
"20-08-2025","25,050.55","24,965.80","25,088.70","24,929.70","287.05M","0.28%"
"19-08-2025","24,980.65","24,891.35","25,012.65","24,873.95","252.34M","0.42%"
"18-08-2025","24,876.95","24,938.20","25,022.00","24,852.85","363.07M","1.00%"
"14-08-2025","24,631.30","24,607.25","24,673.65","24,596.90","270.16M","0.05%"
"13-08-2025","24,619.35","24,586.20","24,664.55","24,535.25","236.01M","0.54%"
"12-08-2025","24,487.40","24,563.35","24,702.60","24,465.65","237.00M","-0.40%"
"11-08-2025","24,585.05","24,371.50","24,600.85","24,347.45","241.15M","0.91%"
"08-08-2025","24,363.30","24,544.25","24,585.50","24,337.50","312.63M","-0.95%"
"07-08-2025","24,596.15","24,464.20","24,634.20","24,344.15","616.74M","0.09%"
"06-08-2025","24,574.20","24,641.35","24,671.40","24,539.20","225.09M","-0.31%"
"05-08-2025","24,649.55","24,720.25","24,733.10","24,590.30","251.85M","-0.30%"
"04-08-2025","24,722.75","24,596.05","24,736.25","24,554.00","259.33M","0.64%"
"01-08-2025","24,565.35","24,734.90","24,784.15","24,535.05","263.36M","-0.82%"
"31-07-2025","24,768.35","24,642.25","24,956.50","24,635.00","346.30M","-0.35%"
"30-07-2025","24,855.05","24,890.40","24,902.30","24,771.95","243.89M","0.14%"
"29-07-2025","24,821.10","24,609.65","24,847.15","24,598.60","284.66M","0.57%"
"28-07-2025","24,680.90","24,782.45","24,889.20","24,646.60","262.14M","-0.63%"
"25-07-2025","24,837.00","25,010.35","25,010.35","24,806.35","278.14M","-0.90%"
"24-07-2025","25,062.10","25,243.30","25,246.25","25,018.70","338.73M","-0.63%"
"23-07-2025","25,219.90","25,139.35","25,233.50","25,085.50","271.54M","0.63%"
"22-07-2025","25,060.90","25,166.65","25,182.00","25,035.55","483.73M","-0.12%"
"21-07-2025","25,090.70","24,999.00","25,111.40","24,882.30","305.22M","0.49%"
"18-07-2025","24,968.40","25,108.55","25,144.60","24,918.65","316.98M","-0.57%"
"17-07-2025","25,111.45","25,230.75","25,238.35","25,101.00","243.41M","-0.40%"
"16-07-2025","25,212.05","25,196.60","25,255.30","25,121.05","228.82M","0.06%"
"15-07-2025","25,195.80","25,089.50","25,245.20","25,088.45","241.34M","0.45%"
"14-07-2025","25,082.30","25,149.50","25,151.10","25,001.95","259.53M","-0.27%"
"11-07-2025","25,149.85","25,255.50","25,322.45","25,129.00","249.99M","-0.81%"
"10-07-2025","25,355.25","25,511.65","25,524.05","25,340.45","219.61M","-0.47%"
"09-07-2025","25,476.10","25,514.60","25,548.70","25,424.35","239.08M","-0.18%"
"08-07-2025","25,522.50","25,427.85","25,548.05","25,424.15","210.41M","0.24%"
"07-07-2025","25,461.30","25,450.45","25,489.80","25,407.25","196.05M","0.00%"
"04-07-2025","25,461.00","25,428.85","25,470.25","25,331.65","193.51M","0.22%"
"03-07-2025","25,405.30","25,505.10","25,587.50","25,384.35","293.43M","-0.19%"
"02-07-2025","25,453.40","25,588.30","25,608.10","25,378.75","309.83M","-0.35%"
"01-07-2025","25,541.80","25,551.35","25,593.40","25,501.80","260.67M","0.10%"
"30-06-2025","25,517.05","25,661.65","25,669.35","25,473.30","270.98M","-0.47%"
"27-06-2025","25,637.80","25,576.65","25,654.20","25,523.55","563.96M","0.35%"
"26-06-2025","25,549.00","25,268.95","25,565.30","25,259.90","428.89M","1.21%"
"25-06-2025","25,244.75","25,150.35","25,266.80","25,125.05","260.58M","0.80%"
"24-06-2025","25,044.35","25,179.90","25,317.70","24,999.70","450.19M","0.29%"
"23-06-2025","24,971.90","24,939.75","25,057.00","24,824.85","248.53M","-0.56%"
"20-06-2025","25,112.40","24,787.65","25,136.20","24,783.65","574.65M","1.29%"
"19-06-2025","24,793.25","24,803.25","24,863.10","24,733.40","274.62M","-0.08%"
"18-06-2025","24,812.05","24,788.35","24,947.55","24,750.45","237.60M","-0.17%"
"17-06-2025","24,853.40","24,977.85","24,982.05","24,813.70","242.42M","-0.37%"
"16-06-2025","24,946.50","24,732.35","24,967.10","24,703.60","305.81M","0.92%"
"13-06-2025","24,718.60","24,473.00","24,754.35","24,473.00","318.71M","-0.68%"
"12-06-2025","24,888.20","25,164.45","25,196.20","24,825.90","328.31M","-1.01%"
"11-06-2025","25,141.40","25,134.15","25,222.40","25,081.30","301.25M","0.15%"
"10-06-2025","25,104.25","25,196.05","25,199.30","25,055.45","307.32M","0.00%"
"09-06-2025","25,103.20","25,160.10","25,160.10","25,077.15","279.22M","0.40%"
"06-06-2025","25,003.05","24,748.70","25,029.50","24,671.45","335.58M","1.02%"
"05-06-2025","24,750.90","24,691.20","24,899.85","24,613.10","388.41M","0.53%"
"04-06-2025","24,620.20","24,560.45","24,644.25","24,530.45","280.86M","0.32%"
"03-06-2025","24,542.50","24,786.30","24,845.10","24,502.15","349.29M","-0.70%"
"02-06-2025","24,716.60","24,669.70","24,754.40","24,526.15","311.10M","-0.14%"
"30-05-2025","24,750.70","24,812.60","24,863.95","24,717.40","853.89M","-0.33%"
"29-05-2025","24,833.60","24,825.10","24,892.60","24,677.30","345.37M","0.33%"
"28-05-2025","24,752.45","24,832.50","24,864.25","24,737.05","684.43M","-0.30%"
"27-05-2025","24,826.20","24,956.65","25,062.90","24,704.10","525.65M","-0.70%"
"26-05-2025","25,001.15","24,919.35","25,079.20","24,900.50","302.80M","0.60%"
"23-05-2025","24,853.15","24,639.50","24,909.05","24,614.05","270.47M","0.99%"
"22-05-2025","24,609.70","24,733.95","24,737.50","24,462.40","403.28M","-0.82%"
"21-05-2025","24,813.45","24,744.25","24,946.20","24,685.35","332.72M","0.52%"
"20-05-2025","24,683.90","24,996.20","25,010.35","24,669.70","414.80M","-1.05%"
"19-05-2025","24,945.45","25,005.35","25,062.95","24,916.65","255.25M","-0.30%"
"16-05-2025","25,019.80","25,064.65","25,070.00","24,953.05","432.72M","-0.17%"
"15-05-2025","25,062.10","24,694.45","25,116.25","24,494.45","500.82M","1.60%"
"14-05-2025","24,666.90","24,613.80","24,767.55","24,535.55","345.49M","0.36%"
"13-05-2025","24,578.35","24,864.05","24,973.80","24,547.50","422.98M","-1.39%"
"12-05-2025","24,924.70","24,420.10","24,944.80","24,378.85","368.71M","3.82%"
"09-05-2025","24,008.00","23,935.75","24,164.25","23,935.75","335.55M","-1.10%"
"08-05-2025","24,273.80","24,431.50","24,447.25","24,150.20","411.36M","-0.58%"
"07-05-2025","24,414.40","24,233.30","24,449.60","24,220.00","330.14M","0.14%"
"06-05-2025","24,379.60","24,500.75","24,509.65","24,331.80","302.35M","-0.33%"
"05-05-2025","24,461.15","24,419.50","24,526.40","24,400.65","291.47M","0.47%"
"02-05-2025","24,346.70","24,311.90","24,589.15","24,238.50","421.11M","0.05%"
"30-04-2025","24,334.20","24,342.05","24,396.15","24,198.75","424.45M","-0.01%"
"29-04-2025","24,335.95","24,370.70","24,457.65","24,290.75","357.56M","0.03%"
"28-04-2025","24,328.50","24,070.25","24,355.10","24,054.05","320.47M","1.20%"
"25-04-2025","24,039.35","24,289.00","24,365.45","23,847.85","387.74M","-0.86%"
"24-04-2025","24,246.70","24,277.90","24,347.85","24,216.15","358.77M","-0.34%"
"23-04-2025","24,328.95","24,357.60","24,359.30","24,119.95","415.04M","0.67%"
"22-04-2025","24,167.25","24,185.40","24,242.60","24,072.00","440.94M","0.17%"
"21-04-2025","24,125.55","23,949.15","24,189.55","23,903.65","406.15M","1.15%"
"17-04-2025","23,851.65","23,401.85","23,872.35","23,298.55","505.33M","1.77%"
"16-04-2025","23,437.20","23,344.10","23,452.20","23,273.05","348.42M","0.47%"
"15-04-2025","23,328.55","23,368.35","23,368.35","23,207.00","388.32M","2.19%"
"11-04-2025","22,828.55","22,695.40","22,923.90","22,695.40","402.16M","1.92%"
"09-04-2025","22,399.15","22,460.30","22,468.70","22,353.25","383.82M","-0.61%"
"08-04-2025","22,535.85","22,446.75","22,697.20","22,270.85","468.25M","1.69%"
"07-04-2025","22,161.60","21,758.40","22,254.00","21,743.65","647.11M","-3.24%"
"04-04-2025","22,904.45","23,190.40","23,214.70","22,857.45","466.78M","-1.49%"
"03-04-2025","23,250.10","23,150.30","23,306.50","23,145.80","283.20M","-0.35%"
"02-04-2025","23,332.35","23,192.60","23,350.00","23,158.45","340.97M","0.72%"
"01-04-2025","23,165.70","23,341.10","23,565.15","23,136.40","314.31M","-1.50%"
